Permutation,Ref0,Ref1,Ref2,Ref3,Ref4,Opt0,Opt1,Opt2,Opt3,Opt4
ABCD,66.041,66.677,65.868,66.441,65.881,62.908,59.207,61.808,62.049,61.848
ABDC,67.221,61.968,37.884,69.191,63.123,62.043,28.617,68.095,57.63,57.217
ACBD,45.616,46.359,44.066,60.235,57.77,40.889,37.734,35.689,51.989,51.94
ACDB,60.738,58.508,53.806,42.581,60.93,56.598,52.204,28.148,56.497,56.529
ADBC,56.608,61.197,52.655,30.617,60.349,57.737,56.588,25.248,51.336,53.377
ADCB,63.049,66.355,79.332,28.257,41.737,61.672,63.628,81.492,26.754,43.02
BACD,41.757,25.902,32.057,82.722,42.606,29.256,26.125,47.357,111.468,23.351
BADC,62.771,67.209,75.173,67.231,79.201,65.804,64.613,69.581,62.928,64.159
BCAD,67.547,63.254,47.981,26.461,64.383,61.79,56.49,23.66,40.977,56.459
BCDA,45.174,63.133,61.541,59.509,57.378,41.27,56.661,56.672,30.87,69.691
BDAC,33.062,68.823,65.601,61.776,61.289,55.909,56.722,56.628,56.41,96.279
BDCA,21.626,55.073,21.409,30.955,61.291,40.316,55.575,20.65,50.317,30.98
CABD,24.907,81.789,25.127,21.025,29.933,42.126,92.719,19.327,19.481,45.016
CADB,61.374,57.493,57.629,57.6,60.147,52.88,53.81,52.299,54.08,53.272
CBAD,67.912,28.394,24.227,60.382,66.197,53.893,20.857,39.965,56.083,78.04
CBDA,46.819,60.218,25.169,26.722,60.24,58.456,31.379,19.841,41.236,52.408
CDAB,71.116,44.896,48.572,72.163,37.786,69.085,23.379,60.82,56.692,21.43
CDBA,60.984,74.331,56.629,56.809,56.169,54.624,87.066,52.765,53.148,32.817
DABC,72.113,60.207,58.283,56.669,57.786,56.415,56.91,52.94,52.166,52.348
DACB,34.968,60.077,69.538,59.234,59.452,81.203,51.347,60.106,49.558,49.305
DBAC,59.453,55.735,52.486,51.856,52.047,49.89,49.677,48.83,35.209,52.405
DBCA,63.489,59.637,57.921,60.318,60.409,57.181,52.387,52.25,56.536,56.617
DCAB,54.776,60.822,60.454,55.093,30.027,56.739,56.604,56.669,26.67,49.448
DCBA,59.952,60.727,60.443,60.955,65.142,57.025,56.536,56.562,62.969,57.332
